client_id,name,company,email,phone,status,carrier,policy_number,effective_date,expiration_date,annual_premium,last_contact,notes
CL-2001,Ray Delgado,Delgado Heating & Air,r.delgado@delgadohvac.net,(952) 555-0177,Active,The Hartford,BOP-4471-22,2025-07-06,2026-07-06,"$8,450",4/29/2024,invoice dispute resolved. price sensitive!! added vehicles - check coverage
CL-2002,Marcy Holt,Holt Family Daycare,marcyholt88@gmail.com,,active,Nationwide,BP 88213004,07/19/2025,07/19/2026,,2024-04-02,"paperwork pending, follow up!! no phone on file"
CL-2003,Tom Becker,Becker Roofing,tom.becker@beckerroofing.com,612-555-0193,new,Liberty Mutual,BOP9920175,8/10/25,8/10/26,"14,200/yr",Apr 10 2024,referral from Sandra Liu. roofing - higher risk class. scanned policy only
CL-2004,J. Park,Park Realty,jpark.realty@outlook.com,,negotiating,Travelers,680-7C-114455,"August 24, 2025","August 24, 2026","$6,500.00",05/01/24,wants july start. E&O on separate policy - dont forget at renewal
CL-2005,Bev Nguyen,Bev's Boutique,bev.nguyen@gmail.com,,Active,Hanover,ZBP 1188340,09.05.2025,09.05.2026,"$3,900",2024/04/22,"policy docs not received - resend. happy client, values responsiveness"
CL-2006,Carlos Morales,Morales Contracting,c.morales.contracting@gmail.com,,active,CNA,B 6610042,2025-09-11,2026-09-11,18900,2024-04-22,loan package. needs COI w additional insured for GC. growing - new project
CL-2007,Frost,Frosted Pine Bakery,orders@frostedpine.com,651-555-0148,active,Cincinnati,EBP 0099217,09/24/2025,09/24/2026,"4,600/yr",2024-04-30,opened 2nd location Maple St ~march. VERIFY limits adequate!!
CL-2008,Dwight S,Stella Roofing,dwight.s@stellaroofing.com,,active,Erie,Q40 8800113,10/4/25,10/4/26,"$12,750.00",,reschedule renewal review. hard to reach during day - jobsites
CL-2009,Priya Kapoor,Kapoor Accounting,priya.kapoor@kapooraccounting.com,,onboarding,Chubb,3577-44-21,"October 10, 2025","October 10, 2026","$5,400",4-25-2024,EIN 47-1839204. form submit error. no prior claims. wants cyber reviewed
CL-2010,Mike,Twin Cities Flooring,mike@twincitiesflooring.com,,active,Nationwide,BP 77120955,10.19.2025,10.19.2026,1800,2024-04-30,paid via zelle. wants renewal estimate early for budgeting
CL-2011,Joan Whitaker,Whitaker Agency,jwhitaker@whitakeragency.com,,active,Travelers,680-7C-902231,2025-10-27,2026-10-27,"9,100/yr",,loss run request. no claims last 5 yrs per file. detail oriented
CL-2012,Greg,Greg's Auto Body,greg@gregsautobody.biz,,prospect,Liberty Mutual,BOP4471902,11/04/2025,11/04/2026,"$11,200.00",,prior agent retired. policy lapsed once before - DO NOT let lapse again
CL-2013,Hank Olson,Olson & Sons Plumbing,holson@olsonandsons.com,218-555-0102,inactive,CNA,B 6610998,11/22/25,11/22/26,"$9,600",2023-11-08,no response in 5 months. confirm still in business before renewal
CL-2014,Sandra Liu,Meridian Landscaping,sliu@meridianlandscaping.co,,active,The Hartford,BOP-7781-09,"December 07, 2025","December 07, 2026",6700,2024-03-15,seasonal business. great referral source - sends us clients
CL-2015,,Bright Smiles Dental,newlead2024@yahoo.com,,lead,,,,,,,"dental, 2 locations. shopping - unhappy w current carrier. NO policy on file yet"
CL-2016,Tina Brooks,BrightPath Print Shop,tina@brightpathprint.com,651-555-0148,active,Cincinnati,EBP 0044182,2026-02-03,2027-02-03,"$5,300.00",Apr 10 2024,fast turnaround COI needs. reliable payer
CL-2017,,Northside Auto Repair,angryclient@protonmail.com,,churned?,Erie,Q40 1102554,04/04/2026,04/04/2027,"$8,800",2024-03-15,DOUBLE CHARGE complaint - urgent service recovery. retention risk!!
CL-2018,Dana Whitfield,Iron Forge Fitness,dana@ironforgefitness.com,,active,Hanover,ZBP 4471209,6/1/26,6/1/27,7200,2024-04-25,"gym - participant liability key. expanding hours, maybe adding classes"
